"Elster Metering Systems","Printed: Tuesday, January 21, 2020 1:15:58 PM","","","","","","",""
"","Hill Side Apartments","","","","","","",""
"Script Generated by SMARTset Version 1.1.6438.16169","","","","","","","",""
"Reading Created by SMARTset Version 1.1.6438.16169","","","","","","","",""
"Meter Firmware Build: 2-01381-D","","","","","","","",""
"Status: Program Completed Normally.   (000000)","","","","","","","",""
"Meter Constants","","","","","","","",""
"","Meter Constants","","","","","","",""
"","","Current Connection","","","","","",""
"","","","","Primary","Secondary","","Ratio",""
"","","","CT/VT","150","5","=","30.000",""
"","CT/VT Error","","","","","","",""
"","","CT Error %","0.00%","","","","",""
"","","VT Error %","0.00%","","","","",""
"","","","","","","","",""
"Time and Date","","","","","","","",""
"","Daylight Saving Setup","","","","","","",""
"","","Daylight Saving","Enabled","","","","",""
"","","Advance On","Every First Sunday of September at 01:00","","","","",""
"","","Retard On","Every First Sunday of April at 02:00","","","","",""
"","","Adjust By","1 hours","","","","",""
"","Meter Time","","","","","","",""
"","Meter Time:","Tuesday, October 22, 2019 8:39:36 AM","","","","","",""
"","PC (or HHU) clock:","Tuesday, October 22, 2019 8:35:51 AM","","","","","",""
"","Difference:","Meter is 0 days, 0 hours, 3 minutes, 45 seconds ahead","","","","","",""
"","","","","","","","",""
"Current Values","","","","","","","",""
"","Cumulative Registers","","","","","","",""
"","","Cumulative Totals","","","","","",""
"","","","Value","Source","","","",""
"","","","887,380,525.200","Import Wh","","","",""
"","","","0.000","Export Wh","","","",""
"","","","192,135,133.200","Q1 varh","","","",""
"","","","0.000","Q2 varh","","","",""
"","","","0.000","Q3 varh","","","",""
"","","","236.400","Q4 varh","","","",""
"","","","910,391,882.400","Total VAh","","","",""
"","","","192,135,369.600","Customer Defined 1","","","",""
"","","","0.000","Customer Defined 2","","","",""
"","","","0.000","Customer Defined 3","","","",""
"","","Rates","","","","","",""
"","","","Ref","Value","Source","","",""
"","","","Rate 1","241,057,102.800","Import Wh","","",""
"","","","Rate 2","262,943,539.200","Import Wh","","",""
"","","","Rate 3","372,167,331.600","Import Wh","","",""
"","","","Rate 4","876,167,973.600","Import Wh","","",""
"","","","Rate 5","0.000","Export Wh","","",""
"","","","Rate 6","0.000","No Source","","",""
"","","","Rate 7","0.000","No Source","","",""
